grid_row,grid_column,elevation,sensor_id,sensor_name,sensor_type,cluster_name,noise_std
39,14,0,RAWS-CARPINTERIA-humidity,CARPINTERIA,humidity,cluster-sb-coast,0.5
39,14,0,RAWS-CARPINTERIA-wind,CARPINTERIA,wind,cluster-sb-coast,
32,40,0,RAWS-WHITAKER-PEAK-temp,WHITAKER PEAK,temperature,cluster-ventura-east,0.3
32,40,0,RAWS-WHITAKER-PEAK-humidity,WHITAKER PEAK,humidity,cluster-ventura-east,0.5
32,40,0,RAWS-WHITAKER-PEAK-wind,WHITAKER PEAK,wind,cluster-ventura-east,
30,45,0,RAWS-WARM-SPRINGS-temp,WARM SPRINGS,temperature,cluster-ventura-east,0.3
30,45,0,RAWS-WARM-SPRINGS-humidity,WARM SPRINGS,humidity,cluster-ventura-east,0.5
30,45,0,RAWS-WARM-SPRINGS-wind,WARM SPRINGS,wind,cluster-ventura-east,
40,18,0,RAWS-CASITAS-temp,CASITAS,temperature,cluster-sb-coast,0.3
40,18,0,RAWS-CASITAS-humidity,CASITAS,humidity,cluster-sb-coast,0.5
40,18,0,RAWS-CASITAS-wind,CASITAS,wind,cluster-sb-coast,
37,39,0,RAWS-TEMESCAL-temp,TEMESCAL (LPF),temperature,cluster-ventura-east,0.3
37,39,0,RAWS-TEMESCAL-humidity,TEMESCAL (LPF),humidity,cluster-ventura-east,0.5
37,39,0,RAWS-TEMESCAL-wind,TEMESCAL (LPF),wind,cluster-ventura-east,
40,42,0,RAWS-DEL-VALLE-temp,DEL VALLE,temperature,cluster-ventura-east,0.3
40,42,0,RAWS-DEL-VALLE-humidity,DEL VALLE,humidity,cluster-ventura-east,0.5
40,42,0,RAWS-DEL-VALLE-wind,DEL VALLE,wind,cluster-ventura-east,
46,25,0,RAWS-HARMON-temp,HARMON,temperature,cluster-ventura-east,0.3
46,25,0,RAWS-HARMON-humidity,HARMON,humidity,cluster-ventura-east,0.5
46,25,0,RAWS-HARMON-wind,HARMON,wind,cluster-ventura-east,
39,47,0,RAWS-SAUGUS-temp,SAUGUS,temperature,cluster-ventura-east,0.3
39,47,0,RAWS-SAUGUS-humidity,SAUGUS,humidity,cluster-ventura-east,0.5
39,47,0,RAWS-SAUGUS-wind,SAUGUS,wind,cluster-ventura-east,
43,36,0,RAWS-WILEY-RIDGE-temp,WILEY RIDGE,temperature,cluster-ventura-east,0.3
43,36,0,RAWS-WILEY-RIDGE-humidity,WILEY RIDGE,humidity,cluster-ventura-east,0.5
43,36,0,RAWS-WILEY-RIDGE-wind,WILEY RIDGE,wind,cluster-ventura-east,
45,47,0,RAWS-NEWHALL-PASS-temp,NEWHALL PASS,temperature,cluster-ventura-east,0.3
45,47,0,RAWS-NEWHALL-PASS-humidity,NEWHALL PASS,humidity,cluster-ventura-east,0.5
45,47,0,RAWS-NEWHALL-PASS-wind,NEWHALL PASS,wind,cluster-ventura-east,
47,45,0,RAWS-PORTER-RANCH-temp,PORTER RANCH,temperature,cluster-ventura-east,0.3
47,45,0,RAWS-PORTER-RANCH-humidity,PORTER RANCH,humidity,cluster-ventura-east,0.5
47,45,0,RAWS-PORTER-RANCH-wind,PORTER RANCH,wind,cluster-ventura-east,
