col,row,layer,cell_key,terrain,vegetation,fuel_moisture,slope,cell_size_ft,time_step_min,burn_duration_ticks,lat,lon
25,0,0,"0,25,0",GRASSLAND,0.34,0.08,0.0,6336,5.0,10,35.15,-119.184694
26,0,0,"0,26,0",GRASSLAND,0.4,0.08,0.0,6336,5.0,10,35.15,-119.154082
27,0,0,"0,27,0",GRASSLAND,0.38,0.08,0.0,6336,5.0,10,35.15,-119.123469
28,0,0,"0,28,0",GRASSLAND,0.39,0.08,0.0,6336,5.0,10,35.15,-119.092857
29,0,0,"0,29,0",GRASSLAND,0.33,0.08,0.0,6336,5.0,10,35.15,-119.062245
30,0,0,"0,30,0",GRASSLAND,0.35,0.08,0.0,6336,5.0,10,35.15,-119.031633
31,0,0,"0,31,0",ROCK,0.33,0.0,0.0,6336,5.0,10,35.15,-119.00102
32,0,0,"0,32,0",GRASSLAND,0.41,0.08,0.0,6336,5.0,10,35.15,-118.970408
33,0,0,"0,33,0",GRASSLAND,0.39,0.08,0.0,6336,5.0,10,35.15,-118.939796
34,0,0,"0,34,0",ROCK,0.31,0.0,0.0,6336,5.0,10,35.15,-118.909184
35,0,0,"0,35,0",ROCK,0.37,0.0,0.0,6336,5.0,10,35.15,-118.878571
36,0,0,"0,36,0",GRASSLAND,0.38,0.08,0.0,6336,5.0,10,35.15,-118.847959
37,0,0,"0,37,0",GRASSLAND,0.34,0.08,0.0,6336,5.0,10,35.15,-118.817347
38,0,0,"0,38,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.15,-118.786735
39,0,0,"0,39,0",GRASSLAND,0.32,0.08,0.0,6336,5.0,10,35.15,-118.756122
40,0,0,"0,40,0",GRASSLAND,0.34,0.08,0.0,6336,5.0,10,35.15,-118.72551
41,0,0,"0,41,0",GRASSLAND,0.35,0.08,0.0,6336,5.0,10,35.15,-118.694898
42,0,0,"0,42,0",SCRUB,0.38,0.12,0.0,6336,5.0,10,35.15,-118.664286
43,0,0,"0,43,0",SCRUB,0.39,0.12,0.0,6336,5.0,10,35.15,-118.633673
44,0,0,"0,44,0",SCRUB,0.32,0.12,0.0,6336,5.0,10,35.15,-118.603061
45,0,0,"0,45,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.15,-118.572449
46,0,0,"0,46,0",SCRUB,0.35,0.12,0.0,6336,5.0,10,35.15,-118.541837
47,0,0,"0,47,0",SCRUB,0.32,0.12,0.0,6336,5.0,10,35.15,-118.511224
48,0,0,"0,48,0",FOREST,0.3,0.18,0.0,6336,5.0,10,35.15,-118.480612
49,0,0,"0,49,0",FOREST,0.3,0.18,0.0,6336,5.0,10,35.15,-118.45
0,1,0,"1,0,0",SCRUB,0.31,0.12,0.0,6336,5.0,10,35.131633,-119.95
1,1,0,"1,1,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.131633,-119.919388
2,1,0,"1,2,0",SCRUB,0.31,0.12,0.0,6336,5.0,10,35.131633,-119.888776
3,1,0,"1,3,0",GRASSLAND,0.32,0.08,0.0,6336,5.0,10,35.131633,-119.858163
4,1,0,"1,4,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.131633,-119.827551
5,1,0,"1,5,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.131633,-119.796939
6,1,0,"1,6,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.131633,-119.766327
7,1,0,"1,7,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.131633,-119.735714
8,1,0,"1,8,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.131633,-119.705102
9,1,0,"1,9,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.131633,-119.67449
10,1,0,"1,10,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.131633,-119.643878
11,1,0,"1,11,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.131633,-119.613265
12,1,0,"1,12,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.131633,-119.582653
13,1,0,"1,13,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.131633,-119.552041
14,1,0,"1,14,0",ROCK,0.3,0.0,0.0,6336,5.0,10,35.131633,-119.521429
15,1,0,"1,15,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.131633,-119.490816
16,1,0,"1,16,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.131633,-119.460204
17,1,0,"1,17,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.131633,-119.429592
18,1,0,"1,18,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.131633,-119.39898
19,1,0,"1,19,0",SCRUB,0.33,0.12,0.0,6336,5.0,10,35.131633,-119.368367
20,1,0,"1,20,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.131633,-119.337755
21,1,0,"1,21,0",GRASSLAND,0.31,0.08,0.0,6336,5.0,10,35.131633,-119.307143
22,1,0,"1,22,0",SCRUB,0.33,0.12,0.0,6336,5.0,10,35.131633,-119.276531
23,1,0,"1,23,0",ROCK,0.31,0.0,0.0,6336,5.0,10,35.131633,-119.245918
24,1,0,"1,24,0",SCRUB,0.32,0.12,0.0,6336,5.0,10,35.131633,-119.215306
25,1,0,"1,25,0",ROCK,0.36,0.0,0.0,6336,5.0,10,35.131633,-119.184694
26,1,0,"1,26,0",GRASSLAND,0.43,0.08,0.0,6336,5.0,10,35.131633,-119.154082
27,1,0,"1,27,0",SCRUB,0.32,0.12,0.0,6336,5.0,10,35.131633,-119.123469
28,1,0,"1,28,0",GRASSLAND,0.31,0.08,0.0,6336,5.0,10,35.131633,-119.092857
29,1,0,"1,29,0",GRASSLAND,0.31,0.08,0.0,6336,5.0,10,35.131633,-119.062245
30,1,0,"1,30,0",GRASSLAND,0.38,0.08,0.0,6336,5.0,10,35.131633,-119.031633
31,1,0,"1,31,0",ROCK,0.3,0.0,0.0,6336,5.0,10,35.131633,-119.00102
32,1,0,"1,32,0",ROCK,0.32,0.0,0.0,6336,5.0,10,35.131633,-118.970408
33,1,0,"1,33,0",ROCK,0.36,0.0,0.0,6336,5.0,10,35.131633,-118.939796
34,1,0,"1,34,0",ROCK,0.36,0.0,0.0,6336,5.0,10,35.131633,-118.909184
35,1,0,"1,35,0",ROCK,0.4,0.0,0.0,6336,5.0,10,35.131633,-118.878571
36,1,0,"1,36,0",SCRUB,0.32,0.12,0.0,6336,5.0,10,35.131633,-118.847959
37,1,0,"1,37,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.131633,-118.817347
38,1,0,"1,38,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.131633,-118.786735
39,1,0,"1,39,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.131633,-118.756122
40,1,0,"1,40,0",GRASSLAND,0.31,0.08,0.0,6336,5.0,10,35.131633,-118.72551
41,1,0,"1,41,0",GRASSLAND,0.34,0.08,0.0,6336,5.0,10,35.131633,-118.694898
42,1,0,"1,42,0",GRASSLAND,0.35,0.08,0.0,6336,5.0,10,35.131633,-118.664286
43,1,0,"1,43,0",GRASSLAND,0.32,0.08,0.0,6336,5.0,10,35.131633,-118.633673
44,1,0,"1,44,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.131633,-118.603061
45,1,0,"1,45,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.131633,-118.572449
46,1,0,"1,46,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.131633,-118.541837
47,1,0,"1,47,0",SCRUB,0.31,0.12,0.0,6336,5.0,10,35.131633,-118.511224
48,1,0,"1,48,0",GRASSLAND,0.31,0.08,0.0,6336,5.0,10,35.131633,-118.480612
49,1,0,"1,49,0",FOREST,0.3,0.18,0.0,6336,5.0,10,35.131633,-118.45
0,2,0,"2,0,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.113265,-119.95
1,2,0,"2,1,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.113265,-119.919388
2,2,0,"2,2,0",SCRUB,0.31,0.12,0.0,6336,5.0,10,35.113265,-119.888776
3,2,0,"2,3,0",GRASSLAND,0.32,0.08,0.0,6336,5.0,10,35.113265,-119.858163
4,2,0,"2,4,0",GRASSLAND,0.32,0.08,0.0,6336,5.0,10,35.113265,-119.827551
5,2,0,"2,5,0",GRASSLAND,0.31,0.08,0.0,6336,5.0,10,35.113265,-119.796939
6,2,0,"2,6,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.113265,-119.766327
7,2,0,"2,7,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.113265,-119.735714
8,2,0,"2,8,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.113265,-119.705102
9,2,0,"2,9,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.113265,-119.67449
10,2,0,"2,10,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.113265,-119.643878
11,2,0,"2,11,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.113265,-119.613265
12,2,0,"2,12,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.113265,-119.582653
13,2,0,"2,13,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.113265,-119.552041
14,2,0,"2,14,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.113265,-119.521429
15,2,0,"2,15,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.113265,-119.490816
16,2,0,"2,16,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.113265,-119.460204
17,2,0,"2,17,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.113265,-119.429592
18,2,0,"2,18,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.113265,-119.39898
19,2,0,"2,19,0",SCRUB,0.34,0.12,0.0,6336,5.0,10,35.113265,-119.368367
20,2,0,"2,20,0",GRASSLAND,0.43,0.08,0.0,6336,5.0,10,35.113265,-119.337755
21,2,0,"2,21,0",GRASSLAND,0.51,0.08,0.0,6336,5.0,10,35.113265,-119.307143
22,2,0,"2,22,0",GRASSLAND,0.5,0.08,0.0,6336,5.0,10,35.113265,-119.276531
23,2,0,"2,23,0",GRASSLAND,0.41,0.08,0.0,6336,5.0,10,35.113265,-119.245918
24,2,0,"2,24,0",ROCK,0.34,0.0,0.0,6336,5.0,10,35.113265,-119.215306
25,2,0,"2,25,0",ROCK,0.3,0.0,0.0,6336,5.0,10,35.113265,-119.184694
26,2,0,"2,26,0",ROCK,0.32,0.0,0.0,6336,5.0,10,35.113265,-119.154082
27,2,0,"2,27,0",ROCK,0.33,0.0,0.0,6336,5.0,10,35.113265,-119.123469
28,2,0,"2,28,0",GRASSLAND,0.31,0.08,0.0,6336,5.0,10,35.113265,-119.092857
29,2,0,"2,29,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.113265,-119.062245
30,2,0,"2,30,0",ROCK,0.31,0.0,0.0,6336,5.0,10,35.113265,-119.031633
31,2,0,"2,31,0",ROCK,0.34,0.0,0.0,6336,5.0,10,35.113265,-119.00102
32,2,0,"2,32,0",ROCK,0.3,0.0,0.0,6336,5.0,10,35.113265,-118.970408
33,2,0,"2,33,0",ROCK,0.31,0.0,0.0,6336,5.0,10,35.113265,-118.939796
34,2,0,"2,34,0",ROCK,0.31,0.0,0.0,6336,5.0,10,35.113265,-118.909184
35,2,0,"2,35,0",ROCK,0.34,0.0,0.0,6336,5.0,10,35.113265,-118.878571
36,2,0,"2,36,0",ROCK,0.33,0.0,0.0,6336,5.0,10,35.113265,-118.847959
37,2,0,"2,37,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.113265,-118.817347
38,2,0,"2,38,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.113265,-118.786735
39,2,0,"2,39,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.113265,-118.756122
40,2,0,"2,40,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.113265,-118.72551
41,2,0,"2,41,0",GRASSLAND,0.33,0.08,0.0,6336,5.0,10,35.113265,-118.694898
42,2,0,"2,42,0",SCRUB,0.39,0.12,0.0,6336,5.0,10,35.113265,-118.664286
43,2,0,"2,43,0",GRASSLAND,0.31,0.08,0.0,6336,5.0,10,35.113265,-118.633673
44,2,0,"2,44,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.113265,-118.603061
45,2,0,"2,45,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.113265,-118.572449
46,2,0,"2,46,0",GRASSLAND,0.31,0.08,0.0,6336,5.0,10,35.113265,-118.541837
47,2,0,"2,47,0",SCRUB,0.35,0.12,0.0,6336,5.0,10,35.113265,-118.511224
48,2,0,"2,48,0",SCRUB,0.37,0.12,0.0,6336,5.0,10,35.113265,-118.480612
49,2,0,"2,49,0",SCRUB,0.32,0.12,0.0,6336,5.0,10,35.113265,-118.45
0,3,0,"3,0,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.094898,-119.95
1,3,0,"3,1,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.094898,-119.919388
2,3,0,"3,2,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.094898,-119.888776
3,3,0,"3,3,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.094898,-119.858163
4,3,0,"3,4,0",GRASSLAND,0.31,0.08,0.0,6336,5.0,10,35.094898,-119.827551
5,3,0,"3,5,0",GRASSLAND,0.31,0.08,0.0,6336,5.0,10,35.094898,-119.796939
6,3,0,"3,6,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.094898,-119.766327
7,3,0,"3,7,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.094898,-119.735714
8,3,0,"3,8,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.094898,-119.705102
9,3,0,"3,9,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.094898,-119.67449
10,3,0,"3,10,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.094898,-119.643878
11,3,0,"3,11,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.094898,-119.613265
12,3,0,"3,12,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.094898,-119.582653
13,3,0,"3,13,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.094898,-119.552041
14,3,0,"3,14,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.094898,-119.521429
15,3,0,"3,15,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.094898,-119.490816
16,3,0,"3,16,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.094898,-119.460204
17,3,0,"3,17,0",ROCK,0.3,0.0,0.0,6336,5.0,10,35.094898,-119.429592
18,3,0,"3,18,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.094898,-119.39898
19,3,0,"3,19,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.094898,-119.368367
20,3,0,"3,20,0",SCRUB,0.35,0.12,0.0,6336,5.0,10,35.094898,-119.337755
21,3,0,"3,21,0",GRASSLAND,0.46,0.08,0.0,6336,5.0,10,35.094898,-119.307143
22,3,0,"3,22,0",GRASSLAND,0.43,0.08,0.0,6336,5.0,10,35.094898,-119.276531
23,3,0,"3,23,0",GRASSLAND,0.43,0.08,0.0,6336,5.0,10,35.094898,-119.245918
24,3,0,"3,24,0",GRASSLAND,0.36,0.08,0.0,6336,5.0,10,35.094898,-119.215306
25,3,0,"3,25,0",ROCK,0.31,0.0,0.0,6336,5.0,10,35.094898,-119.184694
26,3,0,"3,26,0",ROCK,0.31,0.0,0.0,6336,5.0,10,35.094898,-119.154082
27,3,0,"3,27,0",GRASSLAND,0.44,0.08,0.0,6336,5.0,10,35.094898,-119.123469
28,3,0,"3,28,0",ROCK,0.35,0.0,0.0,6336,5.0,10,35.094898,-119.092857
29,3,0,"3,29,0",ROCK,0.3,0.0,0.0,6336,5.0,10,35.094898,-119.062245
30,3,0,"3,30,0",GRASSLAND,0.41,0.08,0.0,6336,5.0,10,35.094898,-119.031633
31,3,0,"3,31,0",GRASSLAND,0.49,0.08,0.0,6336,5.0,10,35.094898,-119.00102
32,3,0,"3,32,0",GRASSLAND,0.32,0.08,0.0,6336,5.0,10,35.094898,-118.970408
33,3,0,"3,33,0",ROCK,0.36,0.0,0.0,6336,5.0,10,35.094898,-118.939796
34,3,0,"3,34,0",ROCK,0.3,0.0,0.0,6336,5.0,10,35.094898,-118.909184
35,3,0,"3,35,0",ROCK,0.3,0.0,0.0,6336,5.0,10,35.094898,-118.878571
36,3,0,"3,36,0",ROCK,0.3,0.0,0.0,6336,5.0,10,35.094898,-118.847959
37,3,0,"3,37,0",GRASSLAND,0.31,0.08,0.0,6336,5.0,10,35.094898,-118.817347
38,3,0,"3,38,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.094898,-118.786735
39,3,0,"3,39,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.094898,-118.756122
40,3,0,"3,40,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.094898,-118.72551
41,3,0,"3,41,0",GRASSLAND,0.31,0.08,0.0,6336,5.0,10,35.094898,-118.694898
42,3,0,"3,42,0",SCRUB,0.34,0.12,0.0,6336,5.0,10,35.094898,-118.664286
43,3,0,"3,43,0",GRASSLAND,0.33,0.08,0.0,6336,5.0,10,35.094898,-118.633673
44,3,0,"3,44,0",GRASSLAND,0.36,0.08,0.0,6336,5.0,10,35.094898,-118.603061
45,3,0,"3,45,0",SCRUB,0.39,0.12,0.0,6336,5.0,10,35.094898,-118.572449
46,3,0,"3,46,0",SCRUB,0.39,0.12,0.0,6336,5.0,10,35.094898,-118.541837
47,3,0,"3,47,0",SCRUB,0.39,0.12,0.0,6336,5.0,10,35.094898,-118.511224
48,3,0,"3,48,0",FOREST,0.56,0.18,0.0,6336,5.0,10,35.094898,-118.480612
49,3,0,"3,49,0",FOREST,0.5,0.18,0.0,6336,5.0,10,35.094898,-118.45
0,4,0,"4,0,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.076531,-119.95
1,4,0,"4,1,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.076531,-119.919388
2,4,0,"4,2,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.076531,-119.888776
3,4,0,"4,3,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.076531,-119.858163
4,4,0,"4,4,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.076531,-119.827551
5,4,0,"4,5,0",GRASSLAND,0.33,0.08,0.0,6336,5.0,10,35.076531,-119.796939
6,4,0,"4,6,0",GRASSLAND,0.31,0.08,0.0,6336,5.0,10,35.076531,-119.766327
7,4,0,"4,7,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.076531,-119.735714
8,4,0,"4,8,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.076531,-119.705102
9,4,0,"4,9,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.076531,-119.67449
10,4,0,"4,10,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.076531,-119.643878
11,4,0,"4,11,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.076531,-119.613265
12,4,0,"4,12,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.076531,-119.582653
13,4,0,"4,13,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.076531,-119.552041
14,4,0,"4,14,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.076531,-119.521429
15,4,0,"4,15,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.076531,-119.490816
16,4,0,"4,16,0",ROCK,0.3,0.0,0.0,6336,5.0,10,35.076531,-119.460204
17,4,0,"4,17,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.076531,-119.429592
18,4,0,"4,18,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.076531,-119.39898
19,4,0,"4,19,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.076531,-119.368367
20,4,0,"4,20,0",GRASSLAND,0.37,0.08,0.0,6336,5.0,10,35.076531,-119.337755
21,4,0,"4,21,0",GRASSLAND,0.44,0.08,0.0,6336,5.0,10,35.076531,-119.307143
22,4,0,"4,22,0",GRASSLAND,0.51,0.08,0.0,6336,5.0,10,35.076531,-119.276531
23,4,0,"4,23,0",GRASSLAND,0.47,0.08,0.0,6336,5.0,10,35.076531,-119.245918
24,4,0,"4,24,0",GRASSLAND,0.37,0.08,0.0,6336,5.0,10,35.076531,-119.215306
25,4,0,"4,25,0",GRASSLAND,0.47,0.08,0.0,6336,5.0,10,35.076531,-119.184694
26,4,0,"4,26,0",GRASSLAND,0.43,0.08,0.0,6336,5.0,10,35.076531,-119.154082
27,4,0,"4,27,0",GRASSLAND,0.47,0.08,0.0,6336,5.0,10,35.076531,-119.123469
28,4,0,"4,28,0",GRASSLAND,0.4,0.08,0.0,6336,5.0,10,35.076531,-119.092857
29,4,0,"4,29,0",GRASSLAND,0.39,0.08,0.0,6336,5.0,10,35.076531,-119.062245
30,4,0,"4,30,0",GRASSLAND,0.4,0.08,0.0,6336,5.0,10,35.076531,-119.031633
31,4,0,"4,31,0",GRASSLAND,0.38,0.08,0.0,6336,5.0,10,35.076531,-119.00102
32,4,0,"4,32,0",ROCK,0.3,0.0,0.0,6336,5.0,10,35.076531,-118.970408
33,4,0,"4,33,0",ROCK,0.33,0.0,0.0,6336,5.0,10,35.076531,-118.939796
34,4,0,"4,34,0",ROCK,0.31,0.0,0.0,6336,5.0,10,35.076531,-118.909184
35,4,0,"4,35,0",ROCK,0.31,0.0,0.0,6336,5.0,10,35.076531,-118.878571
36,4,0,"4,36,0",ROCK,0.3,0.0,0.0,6336,5.0,10,35.076531,-118.847959
37,4,0,"4,37,0",GRASSLAND,0.35,0.08,0.0,6336,5.0,10,35.076531,-118.817347
38,4,0,"4,38,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.076531,-118.786735
39,4,0,"4,39,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.076531,-118.756122
40,4,0,"4,40,0",GRASSLAND,0.31,0.08,0.0,6336,5.0,10,35.076531,-118.72551
41,4,0,"4,41,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.076531,-118.694898
42,4,0,"4,42,0",GRASSLAND,0.35,0.08,0.0,6336,5.0,10,35.076531,-118.664286
43,4,0,"4,43,0",GRASSLAND,0.36,0.08,0.0,6336,5.0,10,35.076531,-118.633673
44,4,0,"4,44,0",GRASSLAND,0.54,0.08,0.0,6336,5.0,10,35.076531,-118.603061
45,4,0,"4,45,0",FOREST,0.6,0.18,0.0,6336,5.0,10,35.076531,-118.572449
46,4,0,"4,46,0",FOREST,0.51,0.18,0.0,6336,5.0,10,35.076531,-118.541837
47,4,0,"4,47,0",FOREST,0.53,0.18,0.0,6336,5.0,10,35.076531,-118.511224
48,4,0,"4,48,0",FOREST,0.58,0.18,0.0,6336,5.0,10,35.076531,-118.480612
49,4,0,"4,49,0",FOREST,0.59,0.18,0.0,6336,5.0,10,35.076531,-118.45
0,5,0,"5,0,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.058163,-119.95
1,5,0,"5,1,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.058163,-119.919388
2,5,0,"5,2,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.058163,-119.888776
3,5,0,"5,3,0",ROCK,0.3,0.0,0.0,6336,5.0,10,35.058163,-119.858163
4,5,0,"5,4,0",FOREST,0.3,0.18,0.0,6336,5.0,10,35.058163,-119.827551
5,5,0,"5,5,0",GRASSLAND,0.31,0.08,0.0,6336,5.0,10,35.058163,-119.796939
6,5,0,"5,6,0",GRASSLAND,0.32,0.08,0.0,6336,5.0,10,35.058163,-119.766327
7,5,0,"5,7,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.058163,-119.735714
8,5,0,"5,8,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.058163,-119.705102
9,5,0,"5,9,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.058163,-119.67449
10,5,0,"5,10,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.058163,-119.643878
11,5,0,"5,11,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.058163,-119.613265
12,5,0,"5,12,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.058163,-119.582653
13,5,0,"5,13,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.058163,-119.552041
14,5,0,"5,14,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.058163,-119.521429
15,5,0,"5,15,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.058163,-119.490816
16,5,0,"5,16,0",ROCK,0.3,0.0,0.0,6336,5.0,10,35.058163,-119.460204
17,5,0,"5,17,0",ROCK,0.3,0.0,0.0,6336,5.0,10,35.058163,-119.429592
18,5,0,"5,18,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.058163,-119.39898
19,5,0,"5,19,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.058163,-119.368367
